,index,Crew,Battalion,Vehicle,GTVI Score,GT VI Eng,Q1,members,dr_Position,dr_VACANT,dr_master_gunner,dr_maintanance_operations,dr_avg_age,dr_apft_pass,dr_apft_score_total,dr_apft_score_su,dr_apft_score_pu,dr_apft_score_run,dr_body_comp_pass,dr_ethnic_group,dr_height,dr_skill_level,dr_O_E,dr_M4,dr_M99,dr_M17,dr_time_in_service_months,dr_weight,gn_Position,gn_VACANT,gn_master_gunner,gn_maintanance_operations,gn_avg_age,gn_apft_pass,gn_apft_score_total,gn_apft_score_su,gn_apft_score_pu,gn_apft_score_run,gn_body_comp_pass,gn_ethnic_group,gn_height,gn_skill_level,gn_O_E,gn_M4,gn_M99,gn_M17,gn_time_in_service_months,gn_weight,tc_Position,tc_VACANT,tc_master_gunner,tc_maintanance_operations,tc_avg_age,tc_apft_pass,tc_apft_score_total,tc_apft_score_su,tc_apft_score_pu,tc_apft_score_run,tc_body_comp_pass,tc_ethnic_group,tc_height,tc_skill_level,tc_O_E,tc_M4,tc_M99,tc_M17,tc_time_in_service_months,tc_weight
10,17,A14,5-7 CAV,Bradley,792,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
11,18,A15,5-7 CAV,Bradley,765,8.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
12,19,A16,10 BEB,Bradley,864,9.0,1.0,3,Driver,0,0,0,18.0,,,,,,1.0,NONE,72.5,1.0,E,SHARPSHOOTER,,,31.0,215.0,Gunner,0.0,0.0,0.0,22.5,1.0,229.0,71.0,83.0,75.0,1.0,OTHER HISPANIC DESCENT,66.0,1.0,E,MARKSMAN,,,52.0,150.0,Commander,0.0,0.0,0.0,27.5,,,,,,1.0,NONE,73.0,4.0,O,MARKSMAN,,MARKSMAN,32.0,202.0
13,20,A16,5-7 CAV,Bradley,786,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
14,22,A21,10 BEB,Bradley,801,9.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,66.0,1.0,E,MARKSMAN,,,30.0,121.0,Gunner,0.0,0.0,0.0,22.5,0.0,190.0,63.0,92.0,35.0,1.0,NONE,67.0,1.0,E,MARKSMAN,,,25.0,148.0,Commander,0.0,0.0,0.0,27.5,1.0,232.0,83.0,71.0,78.0,1.0,MEXICAN,75.5,2.0,E,EXPERT,,,66.0,249.0
15,23,A21,2-7 IN,Bradley,783,8.0,1.0,3,Driver,0,0,0,22.5,0.0,126.0,44.0,39.0,43.0,1.0,NONE,68.0,1.0,E,EXPERT,,,31.0,212.0,Gunner,0.0,0.0,0.0,22.5,1.0,291.0,100.0,100.0,91.0,1.0,NONE,68.0,2.0,E,EXPERT,,EXPERT,48.0,181.0,Commander,0.0,0.0,0.0,32.5,1.0,299.0,99.0,100.0,100.0,1.0,NONE,66.0,4.0,O,EXPERT,,,38.0,127.0
16,25,A21,5-7 CAV,Bradley,700,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
17,27,A22,10 BEB,Bradley,843,8.0,1.0,3,Driver,0,0,0,18.0,,,,,,1.0,NONE,66.0,1.0,E,MARKSMAN,,,9.0,145.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,73.5,1.0,E,MARKSMAN,,,22.0,179.0,Commander,0.0,0.0,0.0,27.5,1.0,277.0,100.0,100.0,77.0,0.0,NONE,73.0,2.0,E,SHARPSHOOTER,,,73.0,235.0
18,28,A22,2-7 IN,Bradley,866,8.0,0.0,3,Driver,0,0,0,22.5,1.0,269.0,87.0,100.0,82.0,1.0,MEXICAN,68.0,1.0,E,EXPERT,,,35.0,191.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,68.0,1.0,E,EXPERT,,,43.0,186.0,Commander,0.0,0.0,0.0,27.5,1.0,300.0,100.0,100.0,100.0,1.0,NONE,65.0,2.0,E,EXPERT,,,136.0,132.0
19,30,A22,5-7 CAV,Bradley,843,8.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
20,32,A23,10 BEB,Bradley,760,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,,CUBAN,,1.0,E,MARKSMAN,,,11.0,,Gunner,0.0,0.0,0.0,22.5,1.0,300.0,100.0,100.0,100.0,1.0,NONE,69.0,1.0,E,EXPERT,,,41.0,183.0,Commander,0.0,0.0,0.0,22.5,1.0,254.0,98.0,88.0,68.0,1.0,NONE,72.0,2.0,E,SHARPSHOOTER,,,45.0,192.0
21,33,A23,2-7 IN,Bradley,755,7.0,1.0,3,Driver,0,0,0,22.5,1.0,239.0,82.0,90.0,67.0,1.0,NONE,68.0,1.0,E,MARKSMAN,,,31.0,171.0,Gunner,0.0,0.0,0.0,22.5,1.0,274.0,94.0,88.0,92.0,1.0,NONE,70.0,1.0,E,MARKSMAN,,,44.0,140.0,Commander,0.0,0.0,0.0,32.5,1.0,253.0,88.0,78.0,87.0,1.0,OTHER,73.0,3.0,E,EXPERT,,MARKSMAN,130.0,196.0
22,36,A24,2-7 IN,Bradley,766,7.0,0.0,3,Driver,0,0,0,22.5,1.0,203.0,67.0,67.0,69.0,1.0,NONE,66.0,1.0,E,SHARPSHOOTER,,,34.0,166.0,Gunner,0.0,0.0,0.0,22.5,1.0,290.0,97.0,100.0,93.0,1.0,NONE,69.0,2.0,E,SHARPSHOOTER,,,59.0,160.0,Commander,0.0,0.0,0.0,37.5,1.0,267.0,91.0,92.0,84.0,1.0,OTHER HISPANIC DESCENT,69.0,4.0,E,EXPERT,EXPERT,,265.0,184.0
23,38,A24,5-7 CAV,Bradley,700,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
24,39,A25,5-7 CAV,Bradley,805,9.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
25,40,A26,10 BEB,Bradley,792,8.0,0.0,3,Driver,0,0,0,22.5,,,,,,0.0,NONE,74.5,1.0,E,,,,11.0,228.0,Gunner,0.0,0.0,0.0,32.5,,,,,,1.0,NONE,68.5,1.0,E,SHARPSHOOTER,,,29.0,197.0,Commander,0.0,0.0,0.0,27.5,,,,,,1.0,OTHER,72.0,4.0,O,EXPERT,,,140.0,214.0
26,41,A26,5-7 CAV,Bradley,700,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
27,43,A31,2-7 IN,Bradley,833,9.0,0.0,3,Driver,0,0,0,22.5,1.0,214.0,79.0,68.0,67.0,1.0,NONE,69.0,1.0,E,SHARPSHOOTER,,,25.0,133.0,Gunner,0.0,0.0,0.0,27.5,1.0,272.0,92.0,93.0,87.0,1.0,OTHER,72.0,2.0,E,MARKSMAN,,,107.0,225.0,Commander,0.0,0.0,0.0,27.5,1.0,280.0,93.0,98.0,89.0,1.0,OTHER,69.0,4.0,O,EXPERT,,,96.0,171.0
28,46,A32,2-7 IN,Bradley,829,8.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,67.0,1.0,E,SHARPSHOOTER,,,21.0,179.0,Gunner,0.0,0.0,0.0,22.5,1.0,271.0,89.0,92.0,90.0,1.0,NONE,66.0,1.0,E,EXPERT,,,33.0,150.0,Commander,0.0,0.0,0.0,32.5,1.0,241.0,83.0,87.0,71.0,1.0,OTHER,64.0,3.0,E,EXPERT,,,145.0,158.0
29,49,A33,2-7 IN,Bradley,782,8.0,0.0,3,Driver,0,0,0,27.5,,,,,,1.0,NONE,70.0,1.0,E,EXPERT,,,90.0,133.0,Gunner,0.0,0.0,0.0,22.5,1.0,241.0,82.0,89.0,70.0,1.0,NONE,68.0,1.0,E,EXPERT,,,35.0,161.0,Commander,0.0,0.0,0.0,27.5,0.0,164.0,75.0,61.0,28.0,1.0,OTHER,70.0,3.0,E,SHARPSHOOTER,,,98.0,212.0
30,52,A34,2-7 IN,Bradley,879,10.0,1.0,3,Driver,0,0,0,22.5,0.0,244.0,92.0,96.0,56.0,1.0,NONE,69.0,1.0,E,EXPERT,,,34.0,152.0,Gunner,0.0,0.0,0.0,27.5,1.0,279.0,92.0,93.0,94.0,1.0,MEXICAN,67.0,1.0,E,EXPERT,,,52.0,173.0,Commander,0.0,0.0,0.0,32.5,1.0,265.0,89.0,81.0,95.0,1.0,OTHER,70.0,4.0,E,EXPERT,,,146.0,186.0
31,55,A65,2-7 IN,Bradley,803,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,LATIN AMERICAN WITH HISPANIC DESCENT,68.0,1.0,E,SHARPSHOOTER,,,67.0,183.0,Gunner,0.0,0.0,0.0,22.5,1.0,296.0,100.0,100.0,96.0,1.0,NONE,67.0,2.0,E,SHARPSHOOTER,MARKSMAN,,49.0,140.0,Commander,0.0,0.0,0.0,22.5,1.0,300.0,100.0,100.0,100.0,1.0,OTHER,71.0,4.0,O,SHARPSHOOTER,,EXPERT,77.0,188.0
32,58,A66,10 BEB,Bradley,740,8.0,0.0,3,Driver,0,0,0,27.5,1.0,219.0,80.0,68.0,71.0,0.0,NONE,66.5,1.0,E,EXPERT,,,41.0,216.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,MICRONESIAN,64.0,1.0,E,MARKSMAN,,,29.0,169.0,Commander,0.0,0.0,0.0,32.5,1.0,286.0,95.0,95.0,96.0,1.0,OTHER,68.0,4.0,O,SHARPSHOOTER,,,137.0,201.0
33,59,A66,2-7 IN,Bradley,825,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,68.0,1.0,E,EXPERT,,,27.0,141.0,Gunner,0.0,1.0,0.0,27.5,1.0,222.0,71.0,73.0,78.0,1.0,OTHER,72.0,3.0,E,EXPERT,SHARPSHOOTER,MARKSMAN,127.0,196.0,Commander,0.0,0.0,0.0,27.5,1.0,256.0,93.0,93.0,70.0,1.0,OTHER,70.0,4.0,O,SHARPSHOOTER,,UNQUALIFIED,124.0,195.0
34,61,A66,5-7 CAV,Bradley,869,8.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
35,62,B11,10 BEB,Bradley,803,7.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,65.5,1.0,E,MARKSMAN,,EXPERT,23.0,120.0,Gunner,0.0,0.0,0.0,32.5,1.0,216.0,74.0,63.0,79.0,1.0,NONE,66.5,1.0,E,EXPERT,,EXPERT,40.0,180.0,Commander,0.0,0.0,0.0,22.5,1.0,271.0,92.0,90.0,89.0,1.0,NONE,67.0,2.0,E,EXPERT,,EXPERT,82.0,197.0
36,63,B11,2-7 IN,Bradley,740,7.0,0.0,3,Driver,1,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,27.5,1.0,268.0,89.0,100.0,79.0,1.0,OTHER,70.0,2.0,E,EXPERT,,EXPERT,88.0,187.0,Commander,0.0,0.0,0.0,22.5,,,,,,,OTHER,,4.0,O,SHARPSHOOTER,,,63.0,
37,65,B11,5-7 CAV,Bradley,812,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
38,67,B12,10 BEB,Bradley,774,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,MEXICAN,63.5,1.0,E,SHARPSHOOTER,,EXPERT,24.0,150.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,65.5,1.0,E,MARKSMAN,,,23.0,180.0,Commander,0.0,0.0,0.0,22.5,1.0,241.0,93.0,74.0,74.0,1.0,NONE,71.0,2.0,E,SHARPSHOOTER,,,58.0,189.0
39,68,B12,2-7 IN,Bradley,747,7.0,1.0,3,Driver,0,0,0,22.5,1.0,276.0,93.0,94.0,89.0,1.0,NONE,71.0,1.0,E,EXPERT,EXPERT,,61.0,222.0,Gunner,0.0,0.0,0.0,22.5,1.0,285.0,91.0,94.0,100.0,1.0,OTHER HISPANIC DESCENT,63.0,1.0,E,EXPERT,,,53.0,138.0,Commander,0.0,1.0,0.0,27.5,1.0,282.0,95.0,100.0,87.0,1.0,OTHER,69.0,3.0,E,EXPERT,,,107.0,171.0
40,70,B12,5-7 CAV,Bradley,790,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
41,72,B13,10 BEB,Bradley,792,8.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,67.0,1.0,E,SHARPSHOOTER,,,22.0,218.0,Gunner,0.0,0.0,0.0,22.5,1.0,200.0,62.0,72.0,66.0,1.0,MEXICAN,71.0,1.0,E,MARKSMAN,,EXPERT,38.0,236.0,Commander,0.0,0.0,0.0,32.5,1.0,274.0,89.0,91.0,94.0,1.0,OTHER HISPANIC DESCENT,70.0,3.0,E,SHARPSHOOTER,,,165.0,215.0
42,73,B13,2-7 IN,Bradley,889,9.0,1.0,3,Driver,0,0,0,27.5,,,,,,1.0,NONE,71.0,1.0,E,EXPERT,MARKSMAN,,26.0,211.0,Gunner,0.0,0.0,0.0,22.5,1.0,217.0,70.0,77.0,70.0,,NONE,,1.0,E,EXPERT,SHARPSHOOTER,,67.0,,Commander,0.0,0.0,0.0,22.5,1.0,292.0,99.0,100.0,93.0,,MEXICAN,,3.0,E,EXPERT,SHARPSHOOTER,,69.0,
43,76,B14,2-7 IN,Bradley,720,7.0,1.0,3,Driver,0,0,0,22.5,,,,,,,NONE,,1.0,E,EXPERT,MARKSMAN,,14.0,,Gunner,0.0,0.0,0.0,22.5,1.0,235.0,79.0,85.0,71.0,,OTHER,,1.0,E,EXPERT,,,62.0,,Commander,0.0,1.0,0.0,32.5,1.0,232.0,82.0,79.0,71.0,1.0,OTHER,73.0,4.0,E,EXPERT,,,145.0,162.0
44,78,B14,5-7 CAV,Bradley,771,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
45,79,B15,5-7 CAV,Bradley,761,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
46,80,B16,5-7 CAV,Bradley,721,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
47,82,B21,2-7 IN,Bradley,786,7.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,72.0,1.0,E,EXPERT,,SHARPSHOOTER,25.0,189.0,Gunner,0.0,0.0,0.0,27.5,1.0,237.0,79.0,85.0,73.0,1.0,NONE,70.0,2.0,E,EXPERT,SHARPSHOOTER,,134.0,169.0,Commander,0.0,0.0,0.0,27.5,,,,,,1.0,NONE,72.0,4.0,O,EXPERT,,MARKSMAN,80.0,189.0
48,84,B21,5-7 CAV,Bradley,750,8.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
49,86,B22,2-7 IN,Bradley,737,7.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,NONE,70.0,1.0,E,EXPERT,,MARKSMAN,17.0,152.0,Gunner,0.0,0.0,0.0,37.5,1.0,216.0,68.0,65.0,83.0,,NONE,,1.0,E,EXPERT,SHARPSHOOTER,SHARPSHOOTER,31.0,,Commander,0.0,0.0,0.0,27.5,1.0,228.0,76.0,90.0,62.0,1.0,OTHER,65.0,2.0,E,EXPERT,,EXPERT,105.0,167.0
50,88,B22,5-7 CAV,Bradley,782,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
51,89,B23,2-7 IN,Bradley,833,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,KOREAN,72.0,1.0,E,EXPERT,,MARKSMAN,19.0,160.0,Gunner,0.0,0.0,0.0,27.5,1.0,246.0,80.0,72.0,94.0,,NONE,,1.0,E,EXPERT,MARKSMAN,MARKSMAN,32.0,,Commander,0.0,0.0,0.0,32.5,1.0,212.0,63.0,67.0,82.0,1.0,OTHER,68.0,2.0,E,EXPERT,MARKSMAN,EXPERT,101.0,147.0
52,92,B24,2-7 IN,Bradley,847,9.0,1.0,3,Driver,0,0,0,22.5,,,,,,1.0,MEXICAN,71.0,1.0,E,EXPERT,,,26.0,218.0,Gunner,0.0,0.0,0.0,27.5,,,,,,1.0,NONE,70.0,1.0,E,EXPERT,,EXPERT,19.0,180.0,Commander,0.0,0.0,0.0,22.5,1.0,210.0,65.0,75.0,70.0,,MEXICAN,,1.0,E,SHARPSHOOTER,SHARPSHOOTER,,49.0,
53,94,B24,5-7 CAV,Bradley,746,7.0,0.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
54,95,B25,5-7 CAV,Bradley,732,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
55,96,B26,5-7 CAV,Bradley,822,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
56,98,B31,2-7 IN,Bradley,756,7.0,0.0,3,Driver,0,0,0,27.5,1.0,214.0,76.0,71.0,67.0,1.0,NONE,69.0,1.0,E,EXPERT,,MARKSMAN,30.0,165.0,Gunner,0.0,0.0,0.0,27.5,1.0,298.0,100.0,98.0,100.0,1.0,NONE,70.0,2.0,E,EXPERT,,,48.0,192.0,Commander,0.0,0.0,0.0,27.5,,,,,,1.0,NONE,71.0,4.0,O,EXPERT,,EXPERT,80.0,207.0
57,101,B32,2-7 IN,Bradley,795,8.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,MEXICAN,71.0,1.0,E,EXPERT,,EXPERT,12.0,207.0,Gunner,0.0,0.0,0.0,27.5,1.0,273.0,95.0,100.0,78.0,1.0,NONE,71.0,2.0,E,EXPERT,,EXPERT,60.0,182.0,Commander,0.0,1.0,0.0,32.5,1.0,264.0,89.0,76.0,99.0,1.0,OTHER,72.0,3.0,E,EXPERT,,MARKSMAN,122.0,215.0
58,104,B33,2-7 IN,Bradley,747,7.0,0.0,3,Driver,0,0,0,22.5,,,,,,1.0,ALEUT,67.0,1.0,E,MARKSMAN,,UNQUALIFIED,12.0,175.0,Gunner,0.0,0.0,0.0,22.5,1.0,221.0,68.0,78.0,75.0,1.0,NONE,71.0,1.0,E,EXPERT,,SHARPSHOOTER,41.0,190.0,Commander,0.0,0.0,0.0,27.5,1.0,265.0,87.0,96.0,82.0,1.0,OTHER,67.0,3.0,E,SHARPSHOOTER,,UNQUALIFIED,97.0,207.0
59,107,B34,2-7 IN,Bradley,792,7.0,1.0,3,Driver,0,0,0,27.5,1.0,265.0,77.0,99.0,89.0,1.0,NONE,75.0,1.0,E,EXPERT,,,35.0,168.0,Gunner,0.0,0.0,0.0,22.5,,,,,,1.0,NONE,71.0,1.0,E,EXPERT,,EXPERT,28.0,213.0,Commander,0.0,0.0,0.0,32.5,1.0,257.0,69.0,88.0,100.0,1.0,OTHER,75.0,3.0,E,EXPERT,,EXPERT,154.0,217.0
60,110,B65,2-7 IN,Bradley,917,10.0,0.0,3,Driver,0,0,0,32.5,,,,,,,NONE,,1.0,E,EXPERT,,,33.0,,Gunner,0.0,0.0,0.0,27.5,1.0,297.0,100.0,100.0,97.0,,NONE,,2.0,E,EXPERT,,EXPERT,70.0,,Commander,0.0,0.0,0.0,27.5,,,,,,1.0,OTHER,67.0,4.0,O,EXPERT,,,66.0,178.0
61,113,B66,2-7 IN,Bradley,906,9.0,0.0,3,Driver,0,0,0,18.0,,,,,,,NONE,,1.0,E,,,EXPERT,22.0,,Gunner,0.0,0.0,0.0,27.5,1.0,271.0,92.0,96.0,83.0,,OTHER,,3.0,E,EXPERT,EXPERT,EXPERT,102.0,,Commander,0.0,0.0,0.0,32.5,1.0,270.0,99.0,86.0,85.0,1.0,OTHER,66.0,4.0,O,MARKSMAN,,SHARPSHOOTER,152.0,160.0
62,115,B66,5-7 CAV,Bradley,781,7.0,1.0,3,Driver,0,0,0,,,,,,,,,,,M,,,,,,Gunner,0.0,0.0,0.0,,,,,,,,,,,M,,,,,,Commander,0.0,0.0,0.0,,,,,,,,,,,M,,,,,
63,116,C11,1-64 AR,Bradley,753,8.0,1.0,3,Driver,0,0,0,22.5,1.0,218.0,65.0,84.0,69.0,,NONE,,1.0,E,,,,22.0,,Gunner,0.0,0.0,0.0,32.5,1.0,188.0,60.0,60.0,68.0,1.0,NONE,70.0,2.0,E,MARKSMAN,,,145.0,219.0,Commander,0.0,0.0,0.0,22.5,,,,,,1.0,OTHER,66.0,4.0,O,,,,48.0,155.0
